City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,25.32,broken clouds
295,Saint-Joseph,RE,-21.3667,55.6167,74.21,74,34,15.5,scattered clouds
296,Faanui,PF,-16.4833,-151.75,80.28,71,100,21.94,overcast clouds
297,Byron Bay,AU,-28.65,153.6167,59.88,83,74,9.35,broken clouds
298,Bayji,IQ,34.9311,43.487,111.45,8,0,15.05,clear sky
299,Athol,US,42.5959,-72.2268,70.75,95,90,0.0,overcast clouds
300,Lebu,CL,-37.6167,-73.65,45.82,79,0,11.97,clear sky
301,Lethem,GY,3.3803,-59.7968,82.45,78,40,13.8,scattered clouds
302,Emba,KZ,48.8264,58.1442,85.3,28,100,15.79,overcast clouds
303,Port Hedland,AU,-20.3167,118.5667,69.85,60,90,6.91,overcast clouds
304,Dwarka,IN,22.2394,68.9678,85.1,76,100,14.76,overcast clouds
305,Bogovarovo,RU,58.9785,47.0246,74.98,34,0,9.42,clear sky
306,Sinjar,IQ,36.3209,41.8754,102.13,12,0,15.84,clear sky
307,Nouakchott,MR,18.0858,-15.9785,76.93,72,100,12.35,overcast clouds
308,La Tuque,CA,47.4334,-72.7824,62.85,77,5,2.3,clear sky
309,Yining,CN,29.0361,114.5636,81.86,79,54,4.12,broken clouds
310,Wanaka,NZ,-44.7,169.15,31.1,99,6,1.99,clear sky
311,Newport,GB,51.5877,-2.9984,68.63,83,100,10.4,overcast clouds
312,Walvis Bay,NA,-22.9575,14.5053,83.35,24,6,9.22,clear sky
313,Kahului,US,20.8947,-156.47,75.22,75,1,14.97,clear sky
314,Kenai,US,60.5544,-151.2583,54.09,61,90,12.66,overcast clouds
315,Pangkalanbuun,ID,-2.6833,111.6167,75.99,95,44,3.04,scattered clouds
316,Pasighat,IN,28.0667,95.3333,78.49,90,22,1.54,few clouds
317,Ahipara,NZ,-35.1667,173.1667,55.26,89,100,17.83,overcast clouds
318,Honiara,SB,-9.4333,159.95,77.2,86,89,5.19,overcast clouds
319,Maumere,ID,-8.6199,122.2111,77.04,72,40,3.85,scattered clouds
320,Srednekolymsk,RU,67.45,153.6833,75.22,47,0,12.06,clear sky
321,Kitimat,CA,54.0524,-128.6534,59.38,91,49,1.05,scattered clouds
322,Esperance,AU,-33.8667,121.9,49.84,72,5,8.25,clear sky
323,San Cristobal,VE,7.7669,-72.225,66.38,75,99,4.52,overcast clouds
324,Shunyi,CN,40.125,116.6453,84.29,74,20,6.71,heavy intensity rain
325,Ust-Omchug,RU,61.15,149.6333,55.51,87,100,4.29,overcast clouds
326,Lompoc,US,34.6391,-120.4579,62.28,79,90,0.0,overcast clouds
327,Manzhouli,CN,49.6,117.4333,65.12,62,21,4.76,few clouds
328,Hornostayivka,UA,47.0078,33.729,88.34,38,1,13.4,clear sky
329,Kostomuksha,RU,64.571,30.5767,84.63,39,36,4.76,scattered clouds
330,Winsum,NL,53.33,6.5208,75.22,70,52,12.55,broken clouds
331,Lavrentiya,RU,65.5833,-171.0,43.18,93,44,6.44,scattered clouds
332,Sahbuz,AZ,39.4072,45.5739,91.0,19,0,6.53,clear sky
333,Ugoofaaru,MV,5.6667,73.0,82.24,81,100,16.35,overcast clouds
334,Ilulissat,GL,69.2167,-51.1,48.22,61,100,2.3,overcast clouds
335,Rawah,IQ,34.4816,41.9093,108.72,11,0,11.07,clear sky
336,Barabash,RU,43.2,131.4833,69.48,100,62,2.44,broken clouds
337,Kasane,BW,-17.8167,25.15,79.47,15,0,6.8,clear sky
338,Machilipatnam,IN,16.1667,81.1333,78.51,89,100,10.31,light rain
339,Bururi,BI,-3.85,29.6333,71.22,41,86,6.02,overcast clouds
340,Daugai,LT,54.3667,24.3333,82.89,70,52,5.1,broken clouds
341,Mount Darwin,ZW,-16.7725,31.5838,76.57,29,2,7.85,clear sky
342,Oytal,KZ,42.9057,73.2697,84.47,28,89,2.73,overcast clouds
343,Ostersund,SE,63.1792,14.6357,70.25,68,75,8.05,broken clouds
344,Anadyr,RU,64.75,177.4833,54.1,87,0,2.24,clear sky
345,Ballina,AU,-28.8667,153.5667,57.16,82,75,11.5,light rain
